disc,label
temperature of imac cpu in f,t
exp8266 ccs811 bme280 ir distance sensor michaelson interferometer vibration,o
this fetches fitbit data and plot the calories data,o
arduino based project,u
shows if the huddle room is available or not,o
instantaneous performance data from my inverter,e
switch room 311 temperature,t
off grid solar wind system,e
data presented here are from my weatherduino pro2 meteo station aqm development system from cz brandys l,w
maintains the averages for each sensor,u
with alphasense opc n2,u
raspberry pi sense hat sensor readings from the shop,u
tracks your mood and sound,o
temp humidity and heat index from dht22 connected to esp8266,t
esp8266 01 base weather data transmitter,w
ultrasonic using iot,o
raspberry pi at work,o
8xport temperatury,t
channel for visualization outdoor meteo data temperature humidity and air pressure in vut brno,t
server room monitoring,o
dht11 temp and humidity sensor at greenhouse,t
monitors for utility power outages and high water level in sump,e
particle photon with environmental sensors,w
sensor 120 box at trees water level,o
temperature humidity pressure,t
dallas semiconductor ds18b20 temperature sensor attached to a adafruit huzzah esp8266 board to monitor the temperature in the storage room,t
temperature of lwp2 6th floor,t
office 243 temperature,t
helping plants get optimum air light temperature humidity and soil moisture using an array of micro controllers sensors actuators and wifi,t
esp8266 micropython raspberry pi mosquitto mqttwarn,o
this is a test case for the sensors,o
from bmp180,o
we provide a community hub and have a network of volunteers working closely with our town and county councils local police and health board we provide regular weekly and also one off events for the community,o
upload data from stm32 with esp2866,o
sensor used pms7003,o
data storage for weather station and subsequent data prediction,w
weatherduino pro2 plus,o
pig easy sow feeder 6,o
pig easy sow feeder 2,o
pig easy sow feeder 4,o
weather sensors run by pic16f628 microcontroller data read by rpi and uploaded using curl on linux updates every 20 min,w
memory usage,o
energy produced and battery charging data,e
meteorologic station in rumburk,o
temperature in the big display tank,t
stores temperature sensors readings,t
stores temperature sensor readings,t
stores temperature sensor readings,t
read temperature and humidity from dht22 on wemos d1 mini,t
sending data from raspberry to thingspeak,o
zalishchyky gimnasia meteostation based on esp8266 board,u
ch1 collect temperature and humidity data from adafruit feather esp8266 module,t
csbb thermal monitor from ds18b20 sensor,t
test weather channel,w
with connectivity we thrive,u
inductive sensing,o
there is heat in se serverroom,t
electric imp connected to max31855 thermocouple amp from adafruit reading glass fusing kiln temperature,t
temp of the spa,t
temperature humidity dust of soonmin park living room,t
status location,o
test for thing speak,o
myhouse east 2nd outside,u
temperature in miner room,t
dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,t
open or closed what is the temperature,t
digital smart meter readings every five minutes the dsm connected particle sends out a telegram regarding the actual kwh1 kwh2 and m3gas values,t
am2301 humidity and temperature sensor sonoff th16,t
mckinley hive weight change in the last 10 minutes and the last 20 minutes,o
8 x 240w solar panels schutten and 2 kw direct dc water heater,e
temperatures in laundry room,t
this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,u
collecting temp pressure humidity data,t
wireless temperature and humidity monitor located in link,t
wireless temperature and humidity monitor located in link,t
monitor temperature and humidity from my dry aged room,t
fish pond monitoring system,o
testing esp8266 with ds18b20 batterypower,e
temperature humidity and light level in guest bedroom,t
collect and send all wifi data,o
vaillant vrc 410 heating device monitoring,t
remote temperature and humidity monitor data sent via wifi through a router to thing speak for interpolation operates 24 7 and allows temperature recording for applications needing logging capabilities,t
to know the status of classroom power control,e
this is gas detector project,o
test temp project research,t
inventory,o
read temperature humidity and carbondioxide arduino nano and esp 01 is used,t
it begins finally,u
updated every 10 min,u
temperature and humidity in bielefeld,t
a variety of sensors and arduinos nodemcu collecting data around my house,o
thingspeak make channel for rpi with bme280 and pms7003,o
to monitor any analog sensor value,o
photon and bmp280,o
esp8266 and bme280 outside temperature humidity and pressure sensor,o
foxtrot adatok,u
energy monitoring for my cottage it based on esp8266 current transformer precision rectifier with opamp and mcp3421 18bit a d converter,e
south ealing station,u
some info about the isar river in munich like water level water flow and water temperature taken from http hnd bayern de and updated quarter hourly,t
esp8266 with ds18b20,o
iot workshop,u
iot workshop,u
stores temperature sensor reading,t
lancontroller tinny v2,u
weather and water well conditions,w
thats mr edison to you,u
nus l2 people counter,u
esp8266 standalone with dht11,o
solar powered weather station in a bird house 15 minute sample rate,w
sensors dht22 and ds18b20 in our greenhouse air temperature humidity,t
solar power weather station,w
geiger counter with counts min other sensors to be added counter is located in baltimore,o
front room temprature,t
weather station at office,w
temperature and rh of rm1201,t
testing esp32 installation,o
environmental measurement at ckp vislab office,w
shinyei ppd42 air quality sensor 1 3 temperature humidity sesnor 1 0,t
another test with another account,o
data collected from the lodge,u
tracking the solar system,o
office sensors,o
temperature and hummidity sensors from flat tukhachevskogo 25,t
weather station powered by nodemcu sensors bme280 tsl2561,w
mini project for computer interfacing,u
all the work related to cedar and juniper,u
raspberry,u
temperature humidity,t
for interfacing labview,o
weather station bishops cleeve gloucestershire uk,w
arduino based geiger counter w sbm 19 geiger tube and uv sensor,o
some outdoor infos,w
my room temperature read from lm35 on arduino,t
learning temperature to cloud,t
second ups statistics,o
nextempmon battery test,e
temperature in chicken coop,t
records barometric pressure,w
weather from dht11,w
temperature and humidity of asi ramm screen room,t
soil moisture monitoring at jasmin and new citrus slopes,o
temperature humidity sensors esp8266 am2320 with a lipo charger under over voltage protection and 3 7v 780mah lipo battery,t
this is a test with nodemcu,o
temperature and humidity sensor located in the living room,t
teploty_metyl,u
local weather data in k nigsbach stein germany,w
iot workshop,u
nodemcu esp8266 bme280 weather station,w
with alphasense opc n2 running on alternator power,e
automatic weather station,w
home weather station,w
this is channel for agrihealth by kolatel,u
sensor data from nodemcu is communicated to thingspeak,o
an lnd7317 tube has been connected through the theremino geiger sensor to an esp8266 tasmota firmware,o
outside temp barometer and humidity,t
weather station esp8266 bmp280 bme280 dht22,w
aqi index computed from a wheatherduino station,w
temperatures humidity and luminosity sensors,t
count pulses from 3 sources and relay to server,o
wemos d1 mini lite read temperature and humidity from dht22,t
radmon plus with bme680 sensor,o
iot workshop,u
iot workshop,u
this project is ment for temperature monitering on the live basis,t
my first weather station with 2 sensors,w
only temperature in celcius,t
ternopil real time outdoor air quality monitor point 1,o
weather station bought in spring of 2017 from karl berger,w
fan status 0 fan off 1 fan on,o
light status 0 light off 1 light on,e
outdoor weather data rheinzabern germany,w
show room sensing,o
device control 0 lighton 1 lightoff 2 fan on 3 fan off,o
from some raspberry pi with dht22,u
welcome to ecosense thingspeak channel,o
ict weather station,w
esp8266 bme280 lacrosse anemometer and rain gauges modified,w
monitor temperature humidity and heat index,t
audrino based heart beat monitoring system,o
wet monitor,u
outer temperature real values humidity probably not good values of 2x dht22 bme280 for comparition of sensors output esp8266,t
wireless outdoor thermometer esp8266 ds18b20,t
let the force be,u
ens210 relative humidity and temperature sensor by ams,t
recording current,e
show temperature humidity and pressure collected in the birdnest,t
capasitty is a solar powered wi fi ap and usb recharge station bundled in a concrete park bench,o
training temperaturesensor,t
temp sensors in the freezer,t
average pollution intensity obtained such as to obtain alternate path with help of this value,o
self regulating temperature controller for infant warmers,t
this is for the monitoring system,u
this is for the monitoring system,u
elias channel that hold temperature and humidity measures,t
short film science engineering,u
thermostabilised box,t
temperature humidity and light level in master bedroom,t
energy produced and battery charging data,e
this is a raspberry pi 2 and dht22 based dy room condition monitoring system,o
santaclaratempbot provide temperature and related infos in real time in santa clara california usa silicon valley powered by smartytempy a smartywiot solution wanna be an ambassador in your district wanna use our open data contact us,t
data coming from sensors and relay states from ac wall sockets outfitted with microcontrollers and esp8266 modules,e
temperature humidity monitor,t
teacher,u
monitoring water levels to help automate water storage tank 2 sensor being installed and site temp humidity,o
healthcare,u
i am building many sensors using nodemcu and lua trying to connect everything together,o
testing 2,u
to monitor humidity temperature and lighting at home,t
davis weather station on the roof of 417 mandarin flyway,w
power meter at 417 mandarin flyway,e
temperature and humidity levels,t
for home use,u
to check the water level in dam,o
smart home,u
mathwork,u
smart monitoring system for temperature humidity and light sensor,t
monitoring temperature using lm35 sensor,t
rds110 thermostat,t
data from node 2 located inside a1 office room,u
solar powered weather station esp32 running micropython,w
chcs project 6 axis data logging,o
do you want to know how many times you have squished your connected gato,o
diy multi zone regulation in my house based on arduino dallas onewire bus and thermoelectric valves,t
practice work for iot lab,u
the purpose of this channel is totally related to internet of things with the help of this platform where we learn now things related to iot,u
the purpose of this channel is totally related to internet of things with the help of this platform we learn new things related to iot,u
internet of things,u
it is the most emerging technology in cs field,u
home temperature monitoring,t
room temperature humidity using si7021 lux using tsl2561 barometric pressure bmp180,t
weather at taursa observatory,w
this channel measures pulse rate and temperature for id 569607,t
this is the air temperature at the pool,t
smart home automation using iot and arduino uno for 13 09 2018,o
record the health of tpms in every 18hrs,o
computer room,u
environment data of country house,w
measuring weather parameters,w
this channel shows temperature and pressure logged by raspberry pi and a bmp180 sensor using rpispy implementation,t
which detects the hazardous gaseous and show it in the lcd and and upload it to the webserver in the form of ppm,o
reports pond temperature every 15 minutes to cloud via cellular,t
upload of moisture sensor data received over hc12,o
real weather at home,w
ach_temp humid,t
field monitor,u
temperature and humidity monitoring device 2,t
just some temerature readings from my htpc,t
my paris home temperature humidity etc,t
all statistics related to harold my hamster,o
analysing the wi fi signal strength rssi of an esp8266 to a thingspeak channel using the thingspeak api,o
charles gerber 54 hotmail fr,u
combined weather and diagnostic data from arduino based station,w
kyiv outdoor temp pressure,t
power data from the hut,e
demonstrate dht11 from arduino,t
heating and data for house taking feeds from 1 nanode arduino clone 2 electric imp,t
monitoring the updates from temperature and humidity sensor5,t
air t rh water t,u
heartrate monitor project,o
first test,u
in f,t
temperature and humidity some other shit,t
channel to monitor environmental conditions of my apartment channel is supplied data via an esp8266 wifi module which has a bme280 sensor connected to it these are powered from a usb wall socket outlet for minimal setup installation,w
nodemcu weather data balkon,w
outside temperature in beaconsfield uk,t
pa temperature humidity pressure,t
temperature and humidity,t
pig easy sow feeder 5,o
temperature of cold room 1,t
solar powered temperature humidity pressure sensor,e
testing,u
about room 205,u
educational,u
department of cse,u
pig easy sow feeder 3,u
check temperature of cooking field with infrared sensor,t
analytics channel for southlands,u
meteo data from wifi meteo station located on gru,o
trying to upload the data,u
temp of the chicks,t
smart home,u
weather station iot,w
test for iot,u
this channel measures pulse rate and temperature for id 532501,t
athul,u
dust sensor and bmp180 sensor connected to an esp8266,t
3x ds18b20 on raspberry pi,t
data about house living room conditions,u
testing iot,u
temperature logger with esp8266 and ds18b20 sensor,t
iofthings accel data,o
iofthings accel data,o
iofthings accel data,o
for the prototype of smart irrigation,o
temp s2,t
channel for nico to show speedtest,o
temperatures on the property,t
test esp8266 and ds18b20,t
counter of scenarios,u
temperature and humidity monitor,t
temp plotting,t
alarme vom wlan thermo nano,t
measuring weather parameters,w
wlan thermo,t
monitoring of the farm,o
weather info,w
cooling fans auto on off,o
weather at east part of tampere,w
45 9 khz rf signal strength receiver for detecting sids sudden ionospheric disturbances triggered by an x ray burst of our sun,o
diy weather station brno nov l skovec,w
the 5v version dht22 and nodemcu on mongoose os,t
temperature reading for all the pool sensors,t
temperature and humidity sensor,t
fields 1 2 3 5 6 first device,u
temps humidity barometric pressure,t
my first channel is my first channel,u
realtime logging of data from emu 2 energy monitor home is 3000 sq ft 1st floor and 2500 sq ft basement 1st floor is conditioned air space using geothermal all electric home with heat pump hot water tank and icf construction,e
home automation using computer vision,o
rain water analysis,o
to measure air quality and sound system in db,o
collecting data from weather meteo station nova jezna cz,w
random temperature and humidity data passed from a java program at an interval of 10 seconds,t
just knowledge,u
weather condition display,w
the temperature in my workroom,t
weather in vilar formoso portugal,w
weather in penha garcia portugal,w
weather in anadia portugal,w
weather in avel s de caminho portugal,w
esp wroom 32 and bme280 powerd by an 6v 4 5w solarpanel with an 2500mah 1c 3 7v lipo,e
weather in alvares portugal,w
monitor the current draw of the water heater and the temperature of the outlet,e
light and temperature readings from my chicken coop you can see the coop at www thechickinn us,t
temperature measurements on central heating,t
temp and hum in server testing,t
analyze of data acquired from home weather hvac and electrical systems,w
heart without heart,o
test thingspeak,u
we are collecting data from moisture temperature and humidity sensors and storing it on the cloud server,t
weather data from the misty valley farmhouse,w
indoor locations,o
loft temperature reading and ventilation fan status,t
test with pi,u
solar hot water system esp8266 as thingspeak logger from serial csv data,o
home power consumption measurement,e
local temperature humidity,t
test node for photon to particle cloud to ts channel for mutual air prototype mk2,o
the sound sensor will detect the sound,o
receiving temperature and humidity data from nodemcu also receiving data from thingspeak to feed an amazon alexa skill to read the glasshouse temperature,t
temperature and humidity,t
indoor temperature humidity pressure luminosity bme280 wemos,t
dht22 temperature humidity sensor driven by a raspberry pi 3 running a python script,t
best tycoon channel,u
best tycoon channel,u
best tycoon channel,u
best tycoon channel,u
best tycoon channel,u
best tycoon channel,u
first channel thingspeak,u
best tycoon channel,u
best tycoon channel,u
6 onewire sensors with raspberry pi and python 1 neptune r900v3 municipal water meter,o
water heater solar panel monitoring,o
different parameters of the aquarium,o
esp wroom external sensor temerature pressure humidity altitude,t
electric line voltage as measured in hsr bangalore,e
second esp8266 module for testing sensors periferal devices,o
temp_light intensity reading,t
monitor temperatures of t wort 3 4 wort in top 1 4 of fermenter t wort 1 4 wort in bottom 1 4 of fermenter t chamber inside chamber on outside of fermenter 1 4 from bottom,t
cas studio temperature and humidity earth straw wall measurements,t
local temperature and humidity near lausanne switzerland feeding weatherstation display source code based on code from squix78 https blog squix org,t
highfields,u
dassault systemes hackathon 2018 perth mechatronics,u
weather,w
getting the temperature and atmospheric pressure from the summer house in the garden in cornwall uk,t
measure of temperatures,t
this is temperature and pressure data from my room in jena germany and just outside of it,t
bandwidth monitoring of home internet connection,o
weather station placed in my garden,w
weather station placed in my garden,w
weather engadine nsw,w
weather station engadine nsw,w
log of a pendulum regulator clock time keeping error against the ntp time reference using a nodemcu esp8266,o
temperature humidity and atmospheric pressure in the pod,t
receive temperature updates of the inside temperature,t
alert for high temperature with jun temp sensor,t
powered by arduino and dht11 dht22,t
uploading data from a raspberry pi,u
g f server room temperature and humidity,t
esp8266 nodemcu lua 1 0 with dht11 22,t
esp8266 nodemcu lua 1 0 with dht11 22,t
test channel for weather station experiment,w
if temperature is too high hot is diplayed,t
channel for lorawan test,o
embedded system project which works with an stm32f4xx microcontroller,u
dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,t
small solar powered meteo station in city opocno czech republic value from sensor bmp280 2pcs communication over wifi with esp8266,t
check tempereture from hives by ds18b20 over omega2,t
esp8266 nodemcu with dht22 bme280 ds18b20 and ldr sensors,t
ape laser rh monitor,o
themperature,t
testing sensor with nodemcu,u
temperature and humidity from dht22,t
establish tcp ip connection,o
electrical power meter,e
estimated time of arrival project of monero xmr transaction experimental project,o
this channel is used to monitoring movements in a specific area,o
monitoring the temperature and humidity using dht11,t
a simple app to track the player count over time,o
crawlspace info,o
posting data from inference to this channel,u
iternetnet of thinking,u
arduino monitor for 4 herb planters,o
brightness sensor value of my wifi clock,o
for collecting heating oil usage data,e
temperature at home,t
esp8266 based geiger counter weather station w bme280 and 4x si 180g gm tubes,t
continuously transmit a sinus signal,o
testing sending cpu temperature to iot,t
what is the air like,o
eight one wire temp sensors and nodemcu over wifi,t
weather in guas boas portugal,w
this channel allows you to see the highest and lowest amount of power consumption it can also calculate the average humidity of your working environment as well as high and low temperature,e
rolling 7 minute average minimum maximum of wind speed measured in miles per hour using homemade wired anemometer homemade wireless temperature transmitter using mcp9700a,w
temperature and humidity sensor based on esp8266 and sht31 with 3d printed case uploading to thingspeak,t
environment monitoring from wio node,w
to measure the temperature and the voltage,t
temperature and humidity located in germany by,t
si7021 temperature relative humidity sensor mh z19 co2 sensor iot thing esp8266,t
measuring temperatures in and around a shed to test insulation effectiveness,t
power usage from a home power monitor designed to record data every minute,e
temp humidity,t
the thing with the stuff in the place with the people at the time of day,u
testing,u
path 1 oai bom weather site,w
monitoring water quality of pond fish farming,o
home indoor weather station data from nodemcu trm,w
in house environmental monitoring,o
miniyun test at home,o
water heater controler,o
a channel to measure the height,o
display graphs of in service system,u
envision power monitor,e
checking temp and humidity,t
low cost lass system,u
esp8266 nodemcu lua 1 0 with dht11 22,o
with sht30 shield,t
modem statistics,o
wether,w
my smart fridge on esp8266 with simple energy wattage metering kharkiv ukraine,e
different sensors in my my home,u
iotshit,u
test for the slit on voltage raining slit status,e
first attempt,o
home linux box as per http community thingspeak com 2014 05 official tutorial monitoring linux server statistics,o
the raspberry checks the temperatures and controls the water tank if the water is too colt for the bathroom heat it up the raspberry has solid state relays to switch the heating elements and the pump,t
weight measurements taken from an hx711 load cell amplifier this is the full weight of a keg including its remaining content,o
radiation monitor with bme280 barometer temp and humidity sensor,o
this measures reports the status of a solar charger for batteries on the boat nellie brett,e
the measured room temperature and humidity,t
fgn 3f shared office,o
esp8266 thing with dth22 sensor located in czech republic vysoke studnice,t
lolin esp 12e esp8266 nodemcu sb mc with bosch bme280 weather sensor,w
give real time temperature of surabaya,t
data source for kradiator room temperature widget,t
using led notifier,o
home temperature humidity,t
arduino uno based monitoring system for severinghaus lab dissolved noble gas equilibration experiments updates every 2 5 minutes with readings of top and bottom water temperatures and near surface pressure air temperature and humidity,t
data from my particle boar,o
arthronics data systems background radiation monitoring system station michendorf west germany,o
inhouse temperature and humidity logger,t
indoor and outdoor temps of the del monte hoop house particle photon gathering temp data from two ds18b20 digital temp sensors and forwarding to thingspeak with webhooks,t
reads,u
first channel on things speak,u
home weather station agyagfalva lutita,w
solar array voltage and amps,e
latencies for various hu services,o
shows when people trip the sensor at the main door of steamworks in rohrbach library,o
updates every 30 minutes,u
a solar iot sensor that uses aprs fi,o
temp humidity,t
measures outside temperature and humidity and water temperature of the spa,t
data from a respirable dust sensor sds011 outside my window in stuttgart,o
twice daily logs and running temperatures of the front cabinets 1 and 2 and the cool rooms 1 and 2 at the ashgrove store,t
switch with led,o
arduino mkr1000 with dht22 and maxsonar mb1240 for indoor temp hum and oiltank volume arduino uno with ds18b29 for solar boiler and davis vantage vue for the rest,t
a nodemcu with 3 ds18b20 monitors the temperatures t o t u of a storage tank heated by a combination of oil boiler wood boiler and solar panels the temperature of the wood boiler t hv and the temperature of the exhaust gas t ag,t
iot workshop,u
heating boiler,o
r r water leak detector,o
air temperature in csc room,t
heatbox v0 1,o
home monitoring,o
scale with wemos d1 mini espeasy domoticz,o
using the internet of things iot in homes and industries it is possible to control any electrical or electronic equipment,u
to control the temperature,t
house temperature,t
monitor cto office,u
sends a forecast to user via thingspeak,w
lchome weather sensors,w
greenhouse in berthoud colorado,u
we need to maintain sensors data permanently over the cloud,u
tank level and pump state for pond,o
output from pibot,u
it shows the air pollution in the air,o
weather in porto portugal,w
weather in amarante portugal,w
weather in castro daire portugal,w
weather in trancoso portugal,w
weather in feira portugal,w
weather in arouca portugal,w
weather in oliveira do hospital portugal,w
weather in guarda portugal,w
weather in vagos portugal,w
weather in viseu portugal,w
co2 humidity and temperature in my home,t
sensors outside of conference room,u
monitoring of ions using smart ions,u
weather nodemcu and sensors,w
weather1,w
soil humidity measurements,o
sensing and control,o
sump pump water level,o
